,Date,Open,High,Low,Close*,Adj Close**,Volume
4930,"Oct 11, 2002",803.92,843.27,803.92,835.32,835.32,"1,854,130,000"
4931,"Oct 10, 2002",776.76,806.51,768.63,803.92,803.92,"2,090,230,000"
4932,"Oct 09, 2002",798.55,798.55,775.80,776.76,776.76,"1,885,030,000"
4933,"Oct 08, 2002",785.28,808.86,779.50,798.55,798.55,"1,938,430,000"
4934,"Oct 07, 2002",800.58,808.21,782.96,785.28,785.28,"1,576,500,000"
4935,"Oct 04, 2002",818.95,825.90,794.10,800.58,800.58,"1,835,930,000"
4936,"Oct 03, 2002",827.91,840.02,817.25,818.95,818.95,"1,674,500,000"
4937,"Oct 02, 2002",843.77,851.93,826.50,827.91,827.91,"1,668,900,000"
4938,"Oct 01, 2002",815.28,847.93,812.82,847.91,847.91,"1,780,900,000"
4939,"Sep 30, 2002",827.37,827.37,800.20,815.28,815.28,"1,721,870,000"
4940,"Sep 27, 2002",854.95,854.95,826.84,827.37,827.37,"1,507,300,000"
4941,"Sep 26, 2002",839.66,856.60,839.66,854.95,854.95,"1,650,000,000"
4942,"Sep 25, 2002",819.27,844.22,818.46,839.66,839.66,"1,651,500,000"
4943,"Sep 24, 2002",833.70,833.70,817.38,819.29,819.29,"1,670,240,000"
4944,"Sep 23, 2002",845.39,845.39,825.76,833.70,833.70,"1,381,100,000"
4945,"Sep 20, 2002",843.32,849.32,839.09,845.39,845.39,"1,792,800,000"
4946,"Sep 19, 2002",869.46,869.46,843.09,843.32,843.32,"1,524,000,000"
4947,"Sep 18, 2002",873.52,878.45,857.39,869.46,869.46,"1,501,000,000"
4948,"Sep 17, 2002",891.10,902.68,872.38,873.52,873.52,"1,448,600,000"
4949,"Sep 16, 2002",889.81,891.84,878.91,891.10,891.10,"1,001,400,000"
4950,"Sep 13, 2002",886.91,892.75,877.05,889.81,889.81,"1,271,000,000"
4951,"Sep 12, 2002",909.45,909.45,884.84,886.91,886.91,"1,191,600,000"
4952,"Sep 11, 2002",910.63,924.02,908.47,909.45,909.45,"846,600,000"
4953,"Sep 10, 2002",902.96,909.89,900.50,909.58,909.58,"1,186,400,000"
4954,"Sep 09, 2002",893.92,907.34,882.92,902.96,902.96,"1,130,600,000"
4955,"Sep 06, 2002",879.15,899.07,879.15,893.92,893.92,"1,184,500,000"
4956,"Sep 05, 2002",893.40,893.40,870.50,879.15,879.15,"1,401,300,000"
4957,"Sep 04, 2002",878.02,896.10,875.73,893.40,893.40,"1,372,100,000"
4958,"Sep 03, 2002",916.07,916.07,877.51,878.02,878.02,"1,289,800,000"
4959,"Aug 30, 2002",917.80,928.15,910.17,916.07,916.07,"929,900,000"
4960,"Aug 29, 2002",917.87,924.59,903.33,917.80,917.80,"1,271,100,000"
4961,"Aug 28, 2002",934.82,934.82,913.21,917.87,917.87,"1,146,600,000"
4962,"Aug 27, 2002",947.95,955.82,930.36,934.82,934.82,"1,307,700,000"
4963,"Aug 26, 2002",940.86,950.80,930.42,947.95,947.95,"1,016,900,000"
4964,"Aug 23, 2002",962.70,962.70,937.17,940.86,940.86,"1,071,500,000"
4965,"Aug 22, 2002",949.36,965.00,946.43,962.70,962.70,"1,373,000,000"
4966,"Aug 21, 2002",937.43,951.59,931.32,949.36,949.36,"1,353,100,000"
4967,"Aug 20, 2002",950.70,950.70,931.86,937.43,937.43,"1,308,500,000"
4968,"Aug 19, 2002",928.77,951.17,927.21,950.70,950.70,"1,299,800,000"
4969,"Aug 16, 2002",930.25,935.38,916.21,928.77,928.77,"1,265,300,000"
4970,"Aug 15, 2002",919.62,933.29,918.17,930.25,930.25,"1,505,100,000"
4971,"Aug 14, 2002",884.21,920.21,876.20,919.62,919.62,"1,533,800,000"
4972,"Aug 13, 2002",903.80,911.71,883.62,884.21,884.21,"1,297,700,000"
4973,"Aug 12, 2002",908.64,908.64,892.38,903.80,903.80,"1,036,500,000"
4974,"Aug 09, 2002",898.73,913.95,890.77,908.64,908.64,"1,294,900,000"
4975,"Aug 08, 2002",876.77,905.84,875.17,905.46,905.46,"1,646,700,000"
4976,"Aug 07, 2002",859.57,878.74,854.15,876.77,876.77,"1,490,400,000"
4977,"Aug 06, 2002",834.60,874.44,834.60,859.57,859.57,"1,514,100,000"
4978,"Aug 05, 2002",864.24,864.24,833.44,834.60,834.60,"1,425,500,000"
4979,"Aug 02, 2002",884.40,884.72,853.95,864.24,864.24,"1,538,100,000"
4980,"Aug 01, 2002",911.62,911.62,882.48,884.66,884.66,"1,672,200,000"
4981,"Jul 31, 2002",902.78,911.64,889.88,911.62,911.62,"2,049,360,000"
4982,"Jul 30, 2002",898.96,909.81,884.70,902.78,902.78,"1,826,090,000"
4983,"Jul 29, 2002",852.84,898.96,852.84,898.96,898.96,"1,778,650,000"
4984,"Jul 26, 2002",838.68,852.85,835.92,852.84,852.84,"1,796,100,000"
4985,"Jul 25, 2002",843.42,853.83,816.11,838.68,838.68,"2,424,700,000"
4986,"Jul 24, 2002",797.71,844.32,775.68,843.43,843.43,"2,775,560,000"
4987,"Jul 23, 2002",819.85,827.69,796.13,797.70,797.70,"2,441,020,000"
4988,"Jul 22, 2002",847.76,854.13,813.26,819.85,819.85,"2,248,060,000"
4989,"Jul 19, 2002",881.56,881.56,842.07,847.75,847.75,"2,654,100,000"
4990,"Jul 18, 2002",905.45,907.80,880.60,881.56,881.56,"1,736,300,000"
4991,"Jul 17, 2002",901.05,926.52,895.03,906.04,906.04,"2,566,500,000"
4992,"Jul 16, 2002",917.93,918.65,897.13,900.94,900.94,"1,843,700,000"
4993,"Jul 15, 2002",921.39,921.39,876.46,917.93,917.93,"2,574,800,000"
4994,"Jul 12, 2002",927.37,934.31,913.71,921.39,921.39,"1,607,400,000"
4995,"Jul 11, 2002",920.47,929.16,900.94,927.37,927.37,"2,080,480,000"
4996,"Jul 10, 2002",952.83,956.34,920.29,920.47,920.47,"1,816,900,000"
4997,"Jul 09, 2002",976.98,979.63,951.71,952.83,952.83,"1,348,900,000"
4998,"Jul 08, 2002",989.03,993.56,972.91,976.98,976.98,"1,184,400,000"
4999,"Jul 05, 2002",953.99,989.07,953.99,989.03,989.03,"699,400,000"
5000,"Jul 03, 2002",948.09,954.30,934.87,953.99,953.99,"1,527,800,000"
5001,"Jul 02, 2002",968.65,968.65,945.54,948.09,948.09,"1,823,000,000"
5002,"Jul 01, 2002",989.82,994.46,967.43,968.65,968.65,"1,425,500,000"
5003,"Jun 28, 2002",990.64,"1,001.79",988.31,989.82,989.82,"2,117,000,000"
5004,"Jun 27, 2002",973.53,990.67,963.74,990.64,990.64,"1,908,600,000"
