날짜,종가,오픈,고가,저가,거래량,변동 %
2010년 02월 02일,"4,357.8081","4,251.2998","4,365.2002","4,248.6001",-,2.85%
2010년 02월 01일,"4,237.1060","4,180.2002","4,244.0000","4,179.0000",-,1.46%
2010년 01월 29일,"4,176.2241","4,221.3999","4,264.0000","4,158.7002",-,-0.80%
2010년 01월 28일,"4,209.7388","4,250.1001","4,257.2002","4,180.2998",-,-0.45%
2010년 01월 27일,"4,228.6812","4,281.8999","4,299.8999","4,193.6001",-,-1.55%
2010년 01월 26일,"4,295.2051","4,299.2998","4,319.0000","4,265.2002",-,-0.90%
2010년 01월 25일,"4,334.2588","4,315.7002","4,341.8999","4,296.2998",-,0.60%
2010년 01월 22일,"4,308.3130","4,365.5000","4,378.0000","4,301.6001",-,-1.35%
2010년 01월 21일,"4,367.3462","4,429.7002","4,456.7002","4,354.5000",-,-1.33%
2010년 01월 20일,"4,426.0122","4,426.0122","4,426.0122","4,426.0122",-,-1.48%
2010년 01월 19일,"4,492.4312","4,467.3999","4,493.6001","4,409.1001",-,0.50%
2010년 01월 15일,"4,470.1411","4,512.6001","4,521.7002","4,462.1001",-,-1.39%
2010년 01월 14일,"4,533.2529","4,569.1001","4,573.3999","4,511.2998",-,-0.29%
2010년 01월 13일,"4,546.5459","4,533.8999","4,574.7002","4,474.1001",-,-0.68%
2010년 01월 12일,"4,577.7070","4,655.2002","4,661.7002","4,553.2998",-,-1.96%
2010년 01월 11일,"4,669.0239","4,669.0239","4,669.0239","4,669.0239",-,-0.43%
2010년 01월 08일,"4,689.2002","4,682.1001","4,707.5000","4,653.6001",-,-0.01%
2010년 01월 07일,"4,689.5259","4,711.5000","4,735.6001","4,685.6001",-,-0.97%
2010년 01월 06일,"4,735.2358","4,665.1001","4,743.8999","4,644.2002",-,1.75%
2010년 01월 05일,"4,653.9922","4,661.7002","4,669.1001","4,630.2002",-,0.10%
2010년 01월 04일,"4,649.3682","4,611.2002","4,659.7998","4,611.2002",-,2.54%
2009년 12월 31일,"4,534.1689","4,566.2998","4,576.0000","4,531.1001",-,-0.08%
2009년 12월 30일,"4,537.8130","4,539.0000","4,567.3999","4,520.7998",-,0.24%
2009년 12월 29일,"4,526.8589","4,530.3999","4,556.3999","4,501.7998",-,0.05%
2009년 12월 28일,"4,524.5801","4,479.6001","4,529.2998","4,478.2998",-,1.49%
2009년 12월 24일,"4,458.2280","4,437.5000","4,465.7002","4,410.2998",-,0.78%
2009년 12월 23일,"4,423.8408","4,333.6001","4,430.1001","4,328.7002",-,2.43%
2009년 12월 22일,"4,318.9619","4,312.1001","4,337.5000","4,251.7002",-,0.37%
2009년 12월 21일,"4,302.9858","4,348.5000","4,376.7998","4,289.8999",-,-0.70%
2009년 12월 18일,"4,333.3262","4,342.8999","4,386.1001","4,294.5000",-,0.40%
2009년 12월 17일,"4,315.8560","4,335.3999","4,339.6001","4,280.2002",-,-0.83%
2009년 12월 16일,"4,351.9072","4,302.7998","4,371.3999","4,300.2998",-,1.77%
2009년 12월 15일,"4,276.1431","4,254.2998","4,298.7002","4,245.6001",-,0.58%
2009년 12월 14일,"4,251.5229","4,238.5000","4,272.1001","4,225.8999",-,0.53%
2009년 12월 11일,"4,228.9629","4,255.5000","4,266.1001","4,199.0000",-,-0.01%
2009년 12월 10일,"4,229.2168","4,248.3999","4,251.1001","4,200.7998",-,0.09%
2009년 12월 09일,"4,225.6099","4,352.1001","4,367.1001","4,214.5000",-,-2.27%
2009년 12월 08일,"4,323.6782","4,388.2998","4,403.0000","4,321.5000",-,-1.10%
2009년 12월 07일,"4,371.9648","4,390.7998","4,421.2998","4,365.2002",-,-0.96%
2009년 12월 04일,"4,414.2471","4,447.7998","4,523.3999","4,393.8999",-,-1.01%
2009년 12월 03일,"4,459.5049","4,507.3999","4,511.5000","4,438.8999",-,-0.16%
2009년 12월 02일,"4,466.6929","4,531.7998","4,536.6001","4,454.7998",-,-1.64%
2009년 12월 01일,"4,541.3838","4,522.3999","4,575.2998","4,522.3999",-,1.02%
2009년 11월 30일,"4,495.3149","4,464.7998","4,522.3999","4,407.8999",-,1.17%
2009년 11월 27일,"4,443.5298","4,338.2998","4,459.7002","4,299.2998",-,-1.57%
2009년 11월 25일,"4,514.2949","4,431.8999","4,517.3999","4,409.6001",-,2.57%
2009년 11월 24일,"4,401.3018","4,464.8999","4,478.7002","4,387.3999",-,-1.65%
2009년 11월 23일,"4,475.0381","4,512.7002","4,579.3999","4,460.7998",-,0.32%
2009년 11월 20일,"4,460.8950","4,490.3999","4,490.6001","4,419.8999",-,-0.39%
2009년 11월 19일,"4,478.3511","4,542.3999","4,551.8999","4,451.7998",-,-1.83%
2009년 11월 18일,"4,562.0361","4,591.7998","4,616.7998","4,535.7998",-,0.12%
2009년 11월 17일,"4,556.7012","4,525.6001","4,576.6001","4,504.7002",-,0.33%
2009년 11월 16일,"4,541.6758","4,456.1001","4,558.5000","4,429.1001",-,3.19%
2009년 11월 13일,"4,401.1802","4,447.2002","4,453.2998","4,365.7002",-,-0.37%
2009년 11월 12일,"4,417.6709","4,515.7002","4,515.7002","4,405.8999",-,-2.17%
2009년 11월 11일,"4,515.7490","4,509.1001","4,556.5000","4,492.1001",-,0.43%
2009년 11월 10일,"4,496.3970","4,496.0000","4,552.7998","4,449.5000",-,-0.50%
2009년 11월 09일,"4,518.9971","4,478.7002","4,532.3999","4,446.5000",-,2.35%
2009년 11월 06일,"4,415.3892","4,564.8999","4,564.8999","4,394.2998",-,-2.56%
2009년 11월 05일,"4,531.3911","4,541.7002","4,578.8999","4,523.2998",-,-0.96%
2009년 11월 04일,"4,575.4131","4,575.3999","4,617.6001","4,546.3999",-,0.61%
2009년 11월 03일,"4,547.6689","4,467.2998","4,555.7002","4,418.2998",-,1.31%
2009년 11월 02일,"4,488.6729","4,459.2002","4,502.2002","4,419.7998",-,1.37%
2009년 10월 30일,"4,427.8198","4,555.1001","4,555.3999","4,418.1001",-,-2.85%
2009년 10월 29일,"4,557.6089","4,440.2998","4,586.0000","4,437.6001",-,2.62%
2009년 10월 28일,"4,441.4468","4,549.5000","4,550.6001","4,436.3999",-,-2.47%
2009년 10월 27일,"4,553.8599","4,765.5000","4,797.2998","4,503.2998",-,0.41%
2009년 10월 26일,"4,535.0562","4,618.5000","4,678.3999","4,510.6001",-,-2.01%
2009년 10월 23일,"4,628.0679","4,681.0000","4,700.2002","4,607.8999",-,-0.77%
2009년 10월 22일,"4,664.0952","4,649.3999","4,674.5000","4,607.7002",-,-0.33%
2009년 10월 21일,"4,679.4878","4,568.5000","4,709.6001","4,511.0000",-,2.50%
2009년 10월 20일,"4,565.1992","4,588.3999","4,611.7002","4,532.2998",-,-0.54%
2009년 10월 19일,"4,590.0991","4,555.2002","4,594.1001","4,522.6001",-,1.34%
2009년 10월 16일,"4,529.2168","4,505.8999","4,534.2002","4,460.7002",-,1.00%
2009년 10월 15일,"4,484.5679","4,410.6001","4,496.8999","4,363.2002",-,2.19%
2009년 10월 14일,"4,388.3052","4,391.3999","4,401.8999","4,368.6001",-,0.85%
2009년 10월 13일,"4,351.4492","4,334.7002","4,387.1001","4,300.6001",-,0.64%
2009년 10월 12일,"4,323.6802","4,264.2998","4,340.6001","4,263.2998",-,2.14%
2009년 10월 09일,"4,232.9829","4,231.2002","4,270.2002","4,203.5000",-,-0.34%
2009년 10월 08일,"4,247.6201","4,186.5000","4,285.0000","4,134.7002",-,2.66%
2009년 10월 07일,"4,137.6841","4,206.5000","4,223.6001","4,110.2998",-,-1.13%
2009년 10월 06일,"4,185.1372","4,177.7002","4,241.8999","4,166.1001",-,1.24%
2009년 10월 05일,"4,133.7769","4,099.7998","4,162.5000","4,047.8999",-,0.68%
2009년 10월 02일,"4,105.6650","4,112.0000","4,132.6001","4,046.3000",-,-1.17%
2009년 10월 01일,"4,154.2871","4,163.1001","4,208.6001","4,098.2998",-,-0.67%
2009년 09월 30일,"4,182.2090","4,042.8000","4,186.1001","4,000.3999",-,4.11%
2009년 09월 29일,"4,017.1111","4,014.2000","4,041.8999","3,980.0000",-,-0.04%
2009년 09월 28일,"4,018.6211","3,963.3000","4,049.5000","3,957.1001",-,0.85%
2009년 09월 25일,"3,984.8750","4,007.1001","4,033.6001","3,956.2000",-,-0.17%
2009년 09월 24일,"3,991.8311","4,082.5000","4,099.0000","3,971.7000",-,-2.91%
2009년 09월 23일,"4,111.4878","4,199.2998","4,203.1001","4,084.0000",-,-2.23%
2009년 09월 22일,"4,205.4731","4,159.1001","4,215.6001","4,155.5000",-,2.13%
2009년 09월 21일,"4,117.6279","4,204.5000","4,205.1001","4,098.0000",-,-2.84%
2009년 09월 18일,"4,237.8721","4,237.6001","4,272.6001","4,218.7002",-,-0.75%
2009년 09월 17일,"4,269.8271","4,273.1001","4,306.7998","4,246.8999",-,-0.11%
2009년 09월 16일,"4,274.6812","4,193.2998","4,275.3999","4,179.2002",-,2.22%
2009년 09월 15일,"4,181.7251","4,085.8999","4,191.7002","4,083.8000",-,2.25%
2009년 09월 14일,"4,089.8040","4,062.3000","4,108.1001","4,047.5000",-,-0.12%
2009년 09월 11일,"4,094.6951","4,205.3999","4,253.8999","4,073.3000",-,-2.46%
2009년 09월 10일,"4,197.9761","4,203.3999","4,213.1001","4,139.3999",-,0.52%
2009년 09월 09일,"4,176.0581","4,163.2002","4,229.5000","4,147.2002",-,0.26%
2009년 09월 08일,"4,165.2178","4,084.7000","4,204.8999","4,084.7000",-,3.12%
2009년 09월 04일,"4,039.1001","4,070.7000","4,080.1001","4,006.1001",-,-0.31%
2009년 09월 03일,"4,051.5420","4,109.7002","4,130.3999","4,040.7000",-,-0.47%
2009년 09월 02일,"4,070.6760","4,069.8999","4,104.3999","4,030.8000",-,-0.17%
2009년 09월 01일,"4,077.6631","4,199.2002","4,231.2002","4,075.6001",-,-2.33%
2009년 08월 31일,"4,175.0010","4,271.2002","4,271.2002","4,137.2998",-,-2.77%
2009년 08월 28일,"4,293.7871","4,302.0000","4,333.2998","4,257.0000",-,0.49%
2009년 08월 27일,"4,272.8018","4,234.6001","4,281.2998","4,173.7998",-,0.77%
2009년 08월 26일,"4,240.3398","4,297.0000","4,299.7002","4,206.7998",-,-0.67%
2009년 08월 25일,"4,269.0308","4,338.0000","4,383.7002","4,232.6001",-,-2.25%
2009년 08월 24일,"4,367.3828","4,356.8999","4,381.7002","4,326.0000",-,0.94%
2009년 08월 21일,"4,326.6509","4,290.3999","4,374.5000","4,274.7998",-,0.90%
2009년 08월 20일,"4,288.2441","4,350.2002","4,351.1001","4,276.2002",-,-1.13%
2009년 08월 19일,"4,337.2500","4,194.2002","4,352.6001","4,174.2998",-,2.36%
2009년 08월 18일,"4,237.4292","4,189.2998","4,251.8999","4,116.6001",-,1.97%
2009년 08월 17일,"4,155.5088","4,154.2002","4,156.2002","4,095.8999",-,-1.45%
2009년 08월 14일,"4,216.7422","4,364.7998","4,377.8999","4,206.2002",-,-3.08%
2009년 08월 13일,"4,350.6040","4,382.3999","4,429.1001","4,343.7998",-,0.34%
2009년 08월 12일,"4,335.8262","4,280.8999","4,361.0000","4,272.3999",-,0.79%
2009년 08월 11일,"4,301.8330","4,384.7998","4,391.7002","4,277.8999",-,-1.25%
2009년 08월 10일,"4,356.5059","4,378.8999","4,403.6001","4,339.7002",-,-0.14%
2009년 08월 07일,"4,362.6738","4,379.7002","4,454.1001","4,350.3999",-,-0.97%
2009년 08월 06일,"4,405.5850","4,463.0000","4,465.7998","4,369.2002",-,-1.13%
2009년 08월 05일,"4,456.0669","4,409.2002","4,460.3999","4,366.8999",-,0.87%
2009년 08월 04일,"4,417.7202","4,382.2002","4,440.1001","4,351.0000",-,0.05%
2009년 08월 03일,"4,415.3350","4,336.5000","4,442.2998","4,332.5000",-,3.26%
2009년 07월 31일,"4,276.1001","4,196.2998","4,284.2998","4,094.7000",-,2.43%
2009년 07월 30일,"4,174.6582","4,008.3999","4,181.8999","3,994.2000",-,4.61%
2009년 07월 29일,"3,990.7600","4,095.1001","4,111.0000","3,976.3999",-,-3.89%
2009년 07월 28일,"4,152.4019","4,233.1001","4,235.5000","4,122.1001",-,-1.32%
2009년 07월 27일,"4,207.8691","4,218.7002","4,224.1001","4,171.5000",-,0.47%
2009년 07월 24일,"4,188.1460","4,168.2002","4,195.6001","4,146.5000",-,0.65%
2009년 07월 23일,"4,160.9229","4,083.3000","4,177.0000","4,052.6001",-,2.16%
2009년 07월 22일,"4,073.1201","4,042.1001","4,087.8000","3,999.2000",-,0.04%
2009년 07월 21일,"4,071.5891","4,058.3999","4,129.1001","4,033.6001",-,0.09%
2009년 07월 20일,"4,067.8291","4,066.8999","4,093.6001","4,001.3000",-,1.16%
2009년 07월 17일,"4,021.3311","3,927.7000","4,041.5000","3,905.6001",-,1.99%
2009년 07월 16일,"3,942.7280","3,902.8000","3,946.8000","3,867.2000",-,0.87%
2009년 07월 15일,"3,908.8540","3,863.3000","3,925.0000","3,851.5000",-,2.49%
2009년 07월 14일,"3,813.7261","3,843.6001","3,880.1001","3,797.5000",-,0.49%
2009년 07월 13일,"3,795.1431","3,780.3999","3,827.7000","3,731.8999",-,-0.06%
2009년 07월 10일,"3,797.5300","3,797.3999","3,824.8999","3,751.7000",-,-0.75%
2009년 07월 09일,"3,826.1941","3,842.8000","3,874.1001","3,776.7000",-,0.85%
2009년 07월 08일,"3,793.7661","3,897.1001","3,915.6001","3,790.8000",-,-3.32%
2009년 07월 07일,"3,924.0139","3,980.8000","4,032.0000","3,910.6001",-,-1.62%
2009년 07월 06일,"3,988.4651","3,995.2000","4,026.1001","3,957.3999",-,-3.21%
2009년 07월 03일,"4,120.7002","4,120.7002","4,120.7002","4,120.7002",-,0.00%
2009년 07월 02일,"4,120.6689","4,243.0000","4,243.0000","4,112.3999",-,-2.93%
2009년 07월 01일,"4,245.1382","4,299.7002","4,356.1001","4,215.2998",-,-0.28%
2009년 06월 30일,"4,257.2368","4,402.2998","4,419.0000","4,210.8999",-,-2.16%
2009년 06월 29일,"4,351.1602","4,271.1001","4,374.2002","4,259.8999",-,2.04%
2009년 06월 26일,"4,264.2378","4,345.2998","4,358.7998","4,242.1001",-,-1.12%
2009년 06월 25일,"4,312.5400","4,254.3999","4,341.7998","4,244.5000",-,1.62%
2009년 06월 24일,"4,243.7002","4,248.2998","4,294.3999","4,231.7998",-,-0.34%
2009년 06월 23일,"4,258.2900","4,169.3999","4,274.7002","4,150.7998",-,1.79%
2009년 06월 22일,"4,183.2251","4,109.7002","4,224.7598","4,023.7000",-,-3.23%
2009년 06월 19일,"4,323.0659","4,424.0000","4,446.7002","4,304.6001",-,-1.86%
2009년 06월 18일,"4,404.9712","4,414.2002","4,435.3999","4,371.2998",-,-0.04%
2009년 06월 17일,"4,406.8188","4,403.7998","4,411.2998","4,313.2002",-,0.60%
2009년 06월 16일,"4,380.5928","4,397.5000","4,493.5000","4,353.8999",-,-0.08%
