"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 11월 08일","94.042","94.295","94.373","93.983","-","-0.29%"
"2021년 11월 05일","94.317","94.330","94.645","94.180","32.52K","-0.03%"
"2021년 11월 04일","94.341","93.820","94.470","93.820","21.38K","0.52%"
"2021년 11월 03일","93.853","94.100","94.215","93.800","22.48K","-0.24%"
"2021년 11월 02일","94.079","93.935","94.135","93.810","22.14K","0.21%"
"2021년 11월 01일","93.879","94.120","94.310","93.850","21.64K","-0.26%"
"2021년 10월 29일","94.121","93.340","94.300","93.310","34.70K","0.85%"
"2021년 10월 28일","93.326","93.885","93.970","93.265","35.63K","-0.50%"
"2021년 10월 27일","93.798","93.955","94.005","93.675","35.85K","-0.15%"
"2021년 10월 26일","93.941","93.830","94.015","93.685","20.28K","0.14%"
"2021년 10월 25일","93.809","93.660","93.960","93.465","25.86K","0.20%"
"2021년 10월 22일","93.625","93.745","93.780","93.510","23.48K","-0.14%"
"2021년 10월 21일","93.758","93.595","93.785","93.475","20.25K","0.24%"
"2021년 10월 20일","93.535","93.800","93.880","93.520","25.85K","-0.21%"
"2021년 10월 19일","93.728","93.950","93.950","93.490","25.68K","-0.23%"
"2021년 10월 18일","93.945","93.940","94.175","93.865","20.66K","0.01%"
"2021년 10월 15일","93.938","94.035","94.070","93.850","18.43K","-0.02%"
"2021년 10월 14일","93.961","94.010","94.090","93.760","17.67K","-0.13%"
"2021년 10월 13일","94.080","94.525","94.550","94.005","22.24K","-0.46%"
"2021년 10월 12일","94.519","94.395","94.570","94.235","17.52K","0.20%"
"2021년 10월 11일","94.326","94.105","94.415","94.030","19.69K","0.26%"
"2021년 10월 08일","94.079","94.195","94.345","93.925","32.27K","-0.15%"
"2021년 10월 07일","94.221","94.240","94.290","94.085","14.33K","-0.05%"
"2021년 10월 06일","94.272","93.980","94.455","93.980","28.22K","0.32%"
"2021년 10월 05일","93.967","93.855","94.075","93.815","18.79K","0.20%"
"2021년 10월 04일","93.780","94.090","94.110","93.680","24.71K","-0.28%"
"2021년 10월 01일","94.047","94.320","94.405","94.000","22.85K","-0.20%"
"2021년 09월 30일","94.240","94.345","94.520","94.120","33.91K","-0.12%"
"2021년 09월 29일","94.353","93.730","94.440","93.685","31.45K","0.61%"
"2021년 09월 28일","93.780","93.405","93.820","93.360","36.70K","0.43%"
"2021년 09월 27일","93.381","93.305","93.495","93.195","21.08K","0.05%"
"2021년 09월 24일","93.335","93.090","93.415","93.045","17.04K","0.33%"
"2021년 09월 23일","93.030","93.500","93.530","92.965","24.80K","-0.46%"
"2021년 09월 22일","93.460","93.225","93.515","92.970","32.53K","0.28%"
"2021년 09월 21일","93.200","93.230","93.280","93.040","18.77K","-0.06%"
"2021년 09월 20일","93.256","93.230","93.445","93.170","21.37K","0.09%"
"2021년 09월 17일","93.176","92.870","93.235","92.745","19.16K","0.28%"
"2021년 09월 16일","92.919","92.450","92.945","92.435","30.55K","0.42%"
"2021년 09월 15일","92.534","92.650","92.670","92.405","23.93K","-0.09%"
"2021년 09월 14일","92.614","92.620","92.665","92.290","19.46K","-0.04%"
"2021년 09월 13일","92.652","92.640","92.880","92.640","1.86K","0.07%"
"2021년 09월 10일","92.590","92.525","92.650","92.330","10.52K","0.12%"
"2021년 09월 09일","92.480","92.710","92.765","92.380","29.16K","-0.18%"
"2021년 09월 08일","92.650","92.545","92.860","92.475","27.72K","0.15%"
"2021년 09월 07일","92.514","92.180","92.575","92.105","32.58K","0.52%"
"2021년 09월 06일","92.033","92.105","92.310","92.100","7.09K","0.00%"
"2021년 09월 03일","92.033","92.240","92.265","91.800","32.69K","-0.21%"
"2021년 09월 02일","92.228","92.510","92.545","92.200","17.95K","-0.24%"
"2021년 09월 01일","92.449","92.670","92.790","92.380","17.41K","-0.20%"
"2021년 08월 31일","92.635","92.705","92.760","92.395","25.30K","-0.02%"
"2021년 08월 30일","92.652","92.680","92.790","92.595","14.89K","-0.05%"
"2021년 08월 27일","92.694","93.075","93.195","92.630","31.61K","-0.41%"
"2021년 08월 26일","93.078","92.825","93.095","92.825","20.50K","0.26%"
"2021년 08월 25일","92.832","92.920","93.140","92.820","18.28K","-0.07%"
"2021년 08월 24일","92.901","93.015","93.090","92.815","13.70K","-0.08%"
"2021년 08월 23일","92.971","93.425","93.515","92.960","18.39K","-0.57%"
"2021년 08월 20일","93.508","93.600","93.750","93.455","15.39K","-0.09%"
"2021년 08월 19일","93.588","93.215","93.605","93.215","20.63K","0.48%"
"2021년 08월 18일","93.144","93.155","93.275","92.945","21.78K","-0.00%"
"2021년 08월 17일","93.145","92.610","93.175","92.610","20.51K","0.57%"
"2021년 08월 16일","92.619","92.545","92.665","92.475","14.71K","0.12%"
"2021년 08월 13일","92.512","92.990","93.010","92.470","17.08K","-0.57%"
"2021년 08월 12일","93.038","92.905","93.045","92.845","14.19K","0.13%"
"2021년 08월 11일","92.918","93.070","93.205","92.800","18.56K","-0.15%"
"2021년 08월 10일","93.055","92.975","93.145","92.945","13.32K","0.13%"
"2021년 08월 09일","92.938","92.790","92.995","92.720","16.36K","0.15%"
"2021년 08월 06일","92.800","92.285","92.845","92.265","26.17K","0.59%"
"2021년 08월 05일","92.252","92.280","92.360","92.120","10.96K","-0.02%"
"2021년 08월 04일","92.274","92.045","92.315","91.820","16.07K","0.20%"
"2021년 08월 03일","92.088","92.060","92.160","91.895","10.27K","0.02%"
"2021년 08월 02일","92.065","92.150","92.180","91.920","14.28K","-0.13%"
"2021년 07월 30일","92.188","91.895","92.215","91.780","22.39K","0.35%"
"2021년 07월 29일","91.871","92.255","92.290","91.850","23.57K","-0.48%"
"2021년 07월 28일","92.317","92.460","92.785","92.235","28.21K","-0.13%"
"2021년 07월 27일","92.436","92.625","92.845","92.320","21.09K","-0.23%"
"2021년 07월 26일","92.651","92.915","92.975","92.540","17.46K","-0.30%"
"2021년 07월 23일","92.928","92.850","93.040","92.785","12.47K","0.11%"
"2021년 07월 22일","92.830","92.810","92.930","92.505","23.39K","0.08%"
"2021년 07월 21일","92.759","92.970","93.195","92.730","18.58K","-0.24%"
"2021년 07월 20일","92.979","92.875","93.180","92.805","17.81K","0.09%"
"2021년 07월 19일","92.900","92.700","93.050","92.630","24.20K","0.23%"
"2021년 07월 16일","92.687","92.585","92.760","92.530","15.02K","0.06%"
"2021년 07월 15일","92.631","92.405","92.695","92.275","16.28K","0.24%"
"2021년 07월 14일","92.405","92.795","92.835","92.345","19.38K","-0.38%"
"2021년 07월 13일","92.759","92.205","92.810","92.135","22.01K","0.55%"
"2021년 07월 12일","92.256","92.140","92.420","92.075","10.54K","0.15%"
"2021년 07월 09일","92.116","92.380","92.545","92.085","14.47K","-0.31%"
"2021년 07월 08일","92.406","92.705","92.790","92.240","23.11K","-0.26%"
"2021년 07월 07일","92.645","92.540","92.840","92.415","23.69K","0.11%"
"2021년 07월 06일","92.543","92.255","92.655","91.995","24.70K","0.14%"
"2021년 07월 05일","92.413","92.250","92.355","92.135","11.02K","0.00%"
"2021년 07월 02일","92.413","92.575","92.760","92.170","24.56K","-0.20%"
"2021년 07월 01일","92.594","92.355","92.600","92.255","20.84K","0.18%"
"2021년 06월 30일","92.431","92.070","92.440","92.000","17.12K","0.42%"
"2021년 06월 29일","92.041","91.870","92.195","91.850","14.08K","0.18%"
"2021년 06월 28일","91.876","91.820","92.010","91.685","14.04K","0.03%"
"2021년 06월 25일","91.844","91.830","91.865","91.520","16.64K","0.05%"
"2021년 06월 24일","91.795","91.805","91.915","91.645","11.98K","0.01%"
"2021년 06월 23일","91.785","91.735","91.895","91.505","18.70K","0.04%"
"2021년 06월 22일","91.751","91.890","92.135","91.645","17.33K","-0.14%"
"2021년 06월 21일","91.881","92.280","92.360","91.820","20.05K","-0.36%"
"2021년 06월 18일","92.209","91.860","92.395","91.805","26.12K","0.37%"
"2021년 06월 17일","91.873","91.375","91.995","91.285","48.18K","0.73%"
"2021년 06월 16일","91.208","90.490","91.385","90.410","46.86K","0.78%"
"2021년 06월 15일","90.502","90.470","90.640","90.310","13.54K","0.03%"
"2021년 06월 14일","90.475","90.485","90.565","90.485","0.06K","-0.08%"
"2021년 06월 11일","90.550","90.060","90.610","89.960","9.62K","0.52%"
"2021년 06월 10일","90.078","90.150","90.325","89.990","24.15K","-0.05%"
"2021년 06월 09일","90.121","90.135","90.170","89.830","25.27K","0.05%"
"2021년 06월 08일","90.076","89.995","90.175","89.950","22.33K","0.14%"
"2021년 06월 07일","89.946","90.150","90.300","89.905","31.86K","-0.21%"
"2021년 06월 04일","90.133","90.490","90.625","90.015","24.47K","-0.41%"
"2021년 06월 03일","90.501","89.905","90.555","89.880","31.50K","0.67%"
"2021년 06월 02일","89.901","89.910","90.235","89.855","16.37K","0.09%"
"2021년 06월 01일","89.819","89.795","89.940","89.650","20.19K","-0.19%"
"2021년 05월 31일","89.993","89.995","90.115","89.805","11.70K","0.00%"
