,date,doller,fed,gdp,cpi,sp_close,sp_volume,mi_close,mi_volume,gsci_close,unem,infl,pmi
8092,1989-04-26,97.57,9.82,5612.463,123.1,306.93,146090000.0,93.09,16870.0,1594.76,5.2,5.1,52.2
8093,1989-04-25,97.0,9.85,5612.463,123.1,306.75,165430000.0,93.03,20660.0,1600.58,5.2,5.1,52.2
8094,1989-04-24,96.739998,9.88,5612.463,123.1,308.69,142100000.0,92.84,7200.0,1578.9301,5.2,5.1,52.2
8095,1989-04-21,96.360001,9.87,5612.463,123.1,309.61,187310000.0,92.84,12250.0,1607.01,5.2,5.1,52.2
8096,1989-04-20,96.230003,9.89,5612.463,123.1,306.19,175970000.0,92.53,30700.0,1596.45,5.2,5.1,52.2
8097,1989-04-19,96.860001,10.71,5612.463,123.1,307.15,191510000.0,93.22,21280.0,1588.0699,5.2,5.1,52.2
8098,1989-04-18,96.440002,9.71,5612.463,123.1,306.02,208650000.0,93.34,40670.0,1578.67,5.2,5.1,52.2
8099,1989-04-17,96.760002,9.89,5612.463,123.1,301.72,128540000.0,92.53,8850.0,1576.48,5.2,5.1,52.2
8100,1989-04-14,96.93,9.83,5612.463,123.1,301.36,169780000.0,92.72,36990.0,1552.28,5.2,5.1,52.2
8101,1989-04-13,97.279999,9.84,5612.463,123.1,296.4,141590000.0,91.72,14380.0,1533.4399,5.2,5.1,52.2
8102,1989-04-12,97.75,9.78,5612.463,123.1,298.99,165200000.0,92.0,19580.0,1545.17,5.2,5.1,52.2
8103,1989-04-11,97.82,9.79,5612.463,123.1,298.49,146830000.0,92.0,10760.0,1537.4301,5.2,5.1,52.2
8104,1989-04-10,97.699997,9.85,5612.463,123.1,297.11,123990000.0,92.06,6180.0,1532.9,5.2,5.1,52.2
8105,1989-04-07,97.519997,9.83,5612.463,123.1,297.16,156950000.0,92.06,26300.0,1503.97,5.2,5.1,52.2
8106,1989-04-06,97.150002,9.85,5612.463,123.1,295.29,146530000.0,92.53,19470.0,1499.55,5.2,5.1,52.2
8107,1989-04-05,97.050003,9.28,5612.463,123.1,296.24,165880000.0,92.84,27510.0,1513.35,5.2,5.1,52.2
8108,1989-04-04,96.849998,9.52,5612.463,123.1,295.31,160680000.0,92.78,15720.0,1534.3101,5.2,5.1,52.2
8109,1989-04-03,97.510002,9.92,5612.463,123.1,296.39,164660000.0,92.44,33970.0,1518.85,5.2,5.1,52.2
8110,1989-03-31,98.139999,9.79,5511.253,122.2,294.87,170960000.0,91.94,14190.0,1529.34,5.0,5.0,51.5
8111,1989-03-30,98.139999,9.89,5511.253,122.2,292.52,159950000.0,91.72,22530.0,1536.02,5.0,5.0,51.5
8112,1989-03-29,98.139999,9.84,5511.253,122.2,292.35,144240000.0,91.59,17400.0,1527.61,5.0,5.0,51.5
8113,1989-03-28,98.239998,9.88,5511.253,122.2,291.59,146420000.0,91.25,12870.0,1512.13,5.0,5.0,51.5
8114,1989-03-27,97.610001,9.9,5511.253,122.2,290.57,112960000.0,91.12,5880.0,1529.8,5.0,5.0,51.5
8115,1989-03-23,96.989998,9.92,5511.253,122.2,288.98,153750000.0,91.16,11840.0,1514.0,5.0,5.0,51.5
8116,1989-03-22,96.839996,10.18,5511.253,122.2,290.49,146570000.0,91.0,25120.0,1509.51,5.0,5.0,51.5
8117,1989-03-20,96.93,9.85,5511.253,122.2,289.92,151260000.0,90.5,250.0,1492.1899,5.0,5.0,51.5
