date,doller,fed,sp_data,sp_updown
1971-12-06,-0.2913924944812302,0.1299999999999999,96.51,0
1971-12-07,-0.1237724328196258,0.1200000000000001,96.87,1
1971-12-08,0.0176752413420519,0.1200000000000001,96.92,1
1971-12-09,-0.0796142951201843,-0.25,96.96,1
1971-12-10,-0.0619633525541062,-0.25,97.69,1
1971-12-13,-0.0265618907993196,-0.25,97.97,1
1971-12-14,-0.0088568139555477,-0.1200000000000001,97.67,0
1971-12-15,-0.2129718659513378,-1.13,98.54,1
1971-12-16,-0.1243882685636206,1.13,99.74,1
1971-12-17,-0.0177765930665298,1.13,100.26,1
1971-12-21,-0.1334774906605493,-0.6299999999999999,101.8,1
1971-12-22,-1.0975107557570818,-0.6299999999999999,101.18,0
1971-12-23,0.0179852491455352,0.25,100.74,0
1971-12-27,0.0808816414365471,0.25,100.95,1
1971-12-28,0.1077313951677111,0.1299999999999999,101.95,1
1971-12-29,0.0538340077299357,1.12,102.21,1
1971-12-30,0.017945635436031,-0.6200000000000001,101.78,0
1972-01-03,-0.233793725688281,-0.1299999999999999,101.67,0
1972-01-04,-0.0179845306595006,-0.5,102.09,1
1972-01-05,0.0718926953866968,-0.1200000000000001,103.06,1
1972-01-06,-0.0449523462960652,0.1200000000000001,103.51,1
1972-01-07,-0.1801513289538215,0.1299999999999999,103.47,0
1972-01-10,0.0180151295207572,-0.1299999999999999,103.32,0
1972-01-11,-0.0901379107600852,-0.1200000000000001,103.65,1
1972-01-12,0.0270334322156034,-0.3799999999999999,103.59,0
1972-01-13,-0.2620175280086642,0.3799999999999999,102.99,0
1972-01-14,-0.2173107530367483,-0.1299999999999999,103.39,1
1972-01-17,-0.3726283774664064,-0.1299999999999999,103.7,1
1972-01-18,-0.1547405775101046,0.1299999999999999,104.05,1
1972-01-19,0.1454244722439019,-0.1299999999999999,103.88,0
1972-01-20,-0.0727624145395201,-0.1299999999999999,103.88,0
1972-01-21,0.0272792577313784,-0.1299999999999999,103.65,0
1972-01-24,0.0636132309740776,-0.1200000000000001,102.57,0
1972-01-25,-0.1638448920094282,-0.1200000000000001,102.7,1
1972-01-26,-0.1549813081414567,-0.1299999999999999,102.5,0
