"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-02",99.8905,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-03",100.2856,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-04",100.7472,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-05",101.2408,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-06",101.7266,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-07",102.2027,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-08",102.5902,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-09",102.8898,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-10",103.0694,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-11",103.1122,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-12",103.0694,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-01",102.9854,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-02",102.8758,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-03",102.7818,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-04",102.7229,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-05",102.7227,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-06",102.8003,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-07",102.8846,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-08",102.9206,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-09",102.8671,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-10",102.6988,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-11",102.508,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-12",102.4032,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-01",102.4179,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-02",102.5421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-03",102.7109,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-04",102.7568,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-05",102.5303,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-06",102.0206,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-07",101.3993,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-08",100.8302,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-09",100.3848,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-10",100.0247,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-11",99.67564,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-12",99.32636,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-01",98.9726,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-02",98.60701,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-03",98.20482,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-04",97.76749,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-05",97.39291,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-06",97.08806,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-07",96.84943,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-08",96.70343,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-09",96.70302,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-10",96.82601,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-11",97.08152,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-12",97.44865,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-01",97.90412,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-02",98.38241,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-03",98.83218,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-04",99.16527,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-05",99.313,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-06",99.2803,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-07",99.1427,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-08",98.94791,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-09",98.77367,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-10",98.63342,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-11",98.52814,
